service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
14274053120-20160920093629_v46.5,20160922,20161029,0,1,1,1,0,0,0
23100017644-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
14007036933-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
14007036932-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
14797029100-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
51100051963-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
15471039123-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14769040878-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
1981053534-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
13115037385-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
5500034663-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14757040696-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
18025000162-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
14274053040-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
2391062493-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
4973028580-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14277052540-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
5580033432-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
18028052273-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
14277052627-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
21202043126-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14797028768-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
12839046282-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
1045053421-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
5565034738-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
17000062953-20160922135358_v46.7,20161030,20161231,0,1,1,1,1,0,0
17000017284-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
3100033856-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
13149037689-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
14606043834-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
12881052800-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
18159053002-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
5500011645-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
50051018078-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
5545003295-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
5545003301-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14757054355-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14258044186-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
1045053331-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14233045425-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
13145042820-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
6008011141-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
1044037233-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
50051018181-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
15487039377-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
